Visit No.,N,AuROC,AuPR,F1-score,Specificity,Sensitivity,PPV,Accuracy
1,39812.0,0.978 (0.974-0.981),0.449 (0.409-0.489),0.331 (0.31-0.351),0.939 (0.937-0.942),0.921 (0.898-0.941),0.202 (0.187-0.216),0.939 (0.936-0.941)
2,15262.0,0.956 (0.947-0.964),0.225 (0.18-0.274),0.281 (0.247-0.315),0.949 (0.946-0.953),0.771 (0.714-0.827),0.172 (0.147-0.196),0.947 (0.943-0.951)
3,9084.0,0.962 (0.95-0.972),0.464 (0.394-0.536),0.376 (0.336-0.413),0.938 (0.933-0.943),0.882 (0.833-0.924),0.239 (0.208-0.268),0.937 (0.932-0.942)
4,7002.0,0.95 (0.938-0.96),0.436 (0.36-0.514),0.376 (0.333-0.417),0.936 (0.93-0.942),0.766 (0.705-0.824),0.249 (0.215-0.283),0.932 (0.926-0.937)
5,4837.0,0.957 (0.943-0.969),0.595 (0.505-0.678),0.432 (0.382-0.482),0.939 (0.932-0.945),0.809 (0.745-0.871),0.295 (0.252-0.338),0.935 (0.928-0.941)
6,2871.0,0.969 (0.959-0.977),0.477 (0.369-0.587),0.426 (0.358-0.49),0.936 (0.927-0.945),0.827 (0.747-0.899),0.287 (0.233-0.345),0.933 (0.924-0.942)
7,1014.0,0.962 (0.929-0.985),0.672 (0.502-0.813),0.462 (0.357-0.563),0.931 (0.914-0.947),0.82 (0.694-0.935),0.323 (0.233-0.416),0.927 (0.91-0.943)
8,679.0,0.969 (0.955-0.982),0.593 (0.429-0.753),0.564 (0.458-0.661),0.91 (0.887-0.932),0.95 (0.875-1.0),0.403 (0.306-0.5),0.912 (0.891-0.932)
9,630.0,0.971 (0.954-0.985),0.78 (0.668-0.878),0.569 (0.467-0.667),0.915 (0.892-0.938),0.879 (0.771-0.97),0.422 (0.325-0.529),0.913 (0.889-0.935)
10,601.0,0.987 (0.974-0.997),0.682 (0.375-0.904),0.234 (0.111-0.345),0.881 (0.855-0.907),1.0 (1.0-1.0),0.134 (0.059-0.209),0.883 (0.857-0.908)
11,567.0,,,,,,,
